ID;Kundennummer;Dienstleitser; Account  Nr ;Firma;Straße;Stadt;Land; letzte  Änderung 
2;1000901059;UPS;V79516; AGCO  Power ; Linnavuorentie  8-10 ;Linnavuori;Finnland; 2022-08-10  10:01:32 
3;1000015934;;;Allmendinger; Robert-Bosch-Straße  24 ; Bad  Überkingen/Hausen ;Deutschland; 2022-08-10  10:02:15 
4;1000904067;UPS;71A611; Alois  Berger  GmbH ; In  der  Neuen  Welt  14 ; 87700  Memmingen ;Deutschland; 2022-08-10  10:02:43 
5;1000020901;UPS;8VR073; AMETEK  Germany  GmbH ; Rudolf-Diesel-Str.  16 ;Weiterstadt;Deutschland; 2022-08-10  10:02:59 
6;1000901991;UPS;638854; Anton  Häring  KG ; Anton-Häring-Str  1 ;Bubsheim;Deutschland; 2022-08-10  10:06:13 
7;1000910149;UPS;8X106E; Auch  Präzisionsdrehteile ; Untere  Waldplätze  39 ;Stuttgart;Deutschland; 2022-08-10  09:29:03 
8;1000917266;UPS;81A862; Aventics  GmbH ; Ulmer  Strasse  4 ;Laatzen;Deutschland; 2022-08-10  10:03:42 
9;1000902761;UPS;893241; Berger  Feintechnik  GmbH ;Alois-Berger-Allee;Ummendorf;Deutschland; 2022-08-10  10:04:13 
10;905299;UPS;889023; Bodycote  Wärmebehandlung  GmbH ; Wengenstrasse  4 ;Wehingen;Deutschland; 2022-08-10  09:29:21 
11;1000000716;UPS;677A31; Bosch  Diesel  S.R.O ; Na  Dolech  4a ;Jihlava; Tschechische  Republik ; 2022-08-10  10:05:10 
12;1000006936;UPS;30782V; BOSCH  ENGINEERING  GMBH ; Robert  Bosch  Allee  1 ;ABSTATT;; 0000-00-00  00:00:00 
13;1000017869;UPS;99R341; BOSCH  ENGINEERING  GMBH ; Bergfeldstrasse  2 ;HOLZKIRCHEN;; 0000-00-00  00:00:00 
14;1000017870;UPS;68A640; Bosch  Engineering  GmbH ; Robert-Bosch-Allee  1 ; 74232  Abstatt ;; 0000-00-00  00:00:00 
15;1000032740;TNT;70544277; Bosch  IO  GmbH ; Ullsteinstrasse  120 ; 12109  Berlin ;; 0000-00-00  00:00:00 
16;1000010935;UPS;981877; BOSCH  REXROTH  AG ; Bgm.Dr.-Nebel  Strasse  2 ; LOHR  AM  MAIN ;; 0000-00-00  00:00:00 
17;1000010198;TNT;70671093; Bosch  Rexroth  AG ; Glockeraustr.  2 ;Elchingen;; 0000-00-00  00:00:00 
18;1000010199;TNT;70324498; BOSCH  REXROTH  AG ; Dieselstrasse  10 ; 90441  Nürnberg ;Deutschland; 2022-08-10  09:29:36 
19;1000010941;TNT;73029681; Bosch  Sicherheitssysteme  GmbH ; Robert-Bosch-Ring  5 ;Grasbrunn;; 0000-00-00  00:00:00 
20;1000018081;TNT;70445436; Bosch  Sicherheitssysteme  GmbH ; August-Broemel-Str.  6 ;Arnstadt;; 0000-00-00  00:00:00 
21;1000010217;UPS;2AV961; Bosch  Solarthermie    GmbH ; Prozessionsweg  10 ; 48493  Wettringen ;; 0000-00-00  00:00:00 
22;1000020339;UPS;27333E; Bosch  Transmission  Technology  B.V. ; PO  Box  500 ; AM  Tilburg ;; 0000-00-00  00:00:00 
23;1000027657;UPS;04707A; BRENNER  GMBH ; Heppenheimer  Straße  13-15 ;Mannheim;Deutschland; 2022-08-10  09:29:59 
24;1000157812;TNT;70053975; BSH  Hausgeräte    GmbH ; Bamlerstrasse  1A ; 45141  Essen ;Deutschland; 2022-08-10  09:30:38 
25;1000901519;UPS;994039; Burgmaier  Hightech  GmbH  +  Co  KG ; Willy-Messerschmitt-Str.  10, ;Laupheim;; 0000-00-00  00:00:00 
26;1000902576;UPS;8W0742; CUMMINS  LTD ; YARM  ROAD ;DARLINGTON;; 0000-00-00  00:00:00 
27;905299;UPS;991208; CWG-CHRISTIN  WEBER  GMBH  &  CO.KG ; Zotterangen  6 ;ALDINGEN;; 0000-00-00  00:00:00 
28;1000927744;UPS;ER5644; DAIMLER  AG ; In  den  Weiden  29 ;ALTBACH;; 0000-00-00  00:00:00 
29;1000005042;UPS;426284; Dichtungstechnik  Wallstabe  &  Schneider  gmbh  &  co.   ; Straße  der  Dichtungstechnik  2 ; 94559  Niederwinkling ;Deutschland; 2022-08-10  09:32:59 
30;1000900216;DHL;954421953; ELTEK  SPA ; STRADA  VALENZA  5  A ; CASALE  MONF. ;; 0000-00-00  00:00:00 
31;1000007391;UPS;6815XR; Erdrich  Umformtechnik  GmbH ; Reiersbacher  Str. ; 77871  Renchen ;; 0000-00-00  00:00:00 
32;1000010178;UPS;29201V; ETAS  GmbH ; Borsigstr  24 ; 70469  Stuttgart ;; 0000-00-00  00:00:00 
33;905299;UPS;7458AY; Fa.  Unger  Kabelkonfektionstechnik  GmbH ; Fabrikstrasse  7 ; 9465  Sehmatal-Sehma ;; 0000-00-00  00:00:00 
34;1000900158;UPS;613253; FESTO  LERNZENTRUM  SAAR  GmbH ; OBERE  KAISERSTRASSE ; 66386  SANKT  INGBERT  -ROHRBACH ;; 0000-00-00  00:00:00 
35;905299;UPS;992362; FIEGE  DEUTCHLAND  STIFTUNG  &  CO.  KG ; Birkelstrasse  14 ;WEINSTADT;; 0000-00-00  00:00:00 
36;1000903766;UPS;62A614; GUENTERT  PRAEZISIONSTECHNIK  GMBH ; MAX-PLANCK-STR.  17 ;VILLINGEN-SCHWENNINGEN;; 0000-00-00  00:00:00 
37;1000024251;;;Hammelmann; Carl.zeiss-Strasse  6-8 ; 59302  Oelde ;; 0000-00-00  00:00:00 
38;1000013876;UPS;62A910; Hörnlein  Umformtechnik  GmbH ;Perlenweg; Schwäbisch  Gmünd ;Deutschland; 2022-08-10  09:33:47 
39;905299;UPS;02239A; Hr  Büchner ; Hans-Heiner-müller-Allee  10 ; Hann  Münden ;Deutschland; 2022-08-10  09:36:22 
40;1000015654;UPS;68A297; HTU  Haertetechnik  GmbH ; Hallendorfer  Str.  10 ;Uhldingen-Muehlhofen;; 0000-00-00  00:00:00 
41;1000905349;UPS;8X199E; Hugo  Kern  U.Liebers  GmbH  &Co.  KG ; DR.-KURT-STEIM-STR.  35 ;SCHRAMBERG;; 0000-00-00  00:00:00 
42;905299;UPS;A7613R; IC-Haus  GmbH ; Am  Kümmerling  18 ; 55294  Bodenheim ;Deutschland; 2022-08-10  09:37:08 
43;1000027654;UPS; 101R8X  /  31293V ; ING.OTTO  MEYER  GMBH  +  CO.  KG ; ANNA-ZAMMERT-STR.  25 ;HANNOVER;; 2022-08-10  10:19:18 
44;1000031759;TNT;70197017; JOPP  Automotive  GmbH ; Gartenstrasse  14 ; Bad  Neustadt ;; 0000-00-00  00:00:00 
45;1000911292;DHL;966365669; KARL  KUEFNER  GmbH  &  Co  KG ; ROSSENTAL  STR.  87-89 ;ALBSTADT;; 0000-00-00  00:00:00 
46;905299;UPS;9TT675; Kitagawa  Europe  GmbH ; Borsigstr  3 ;Ratingen;; 0000-00-00  00:00:00 
47;1000039961;TNT;122268; Knoflikarsky  prumysl  Zirovnice  a.s. ;   Tyrsova  707 ;   ZIROVNICE  (CZ) ;; 0000-00-00  00:00:00 
48;1000022111;UPS;04005F; KOLLER  &  SCHWEMMER  GMBH ; Roethensteig  21 ;NUERNBERG;; 0000-00-00  00:00:00 
49;1000904068;UPS;993465; KS  Gleitlager  GmBH ; Am  Bahnhof ; Sankt  Leon-Rot ;; 0000-00-00  00:00:00 
50;1000910344;UPS;8X139E; Kurt  Eberle  GmbH  &  Co.  KG ; Im  Welschen  Feld  1  -  3 ; 75449  Wurmberg ;; 0000-00-00  00:00:00 
51;1000910256;UPS;E3204V; Leibold  u.  Amman ; Talstr.  19 ;Wellendingen;; 0000-00-00  00:00:00 
52;1000909151;UPS;W26208; Mark  Metallwarenfabrik  GmbH ;Gleinkerau; Spital  am  Pyhrn ;; 0000-00-00  00:00:00 
53;1000153716;UPS;61F236; Mercedes  Benz  AG ; Maybachstraße  1 ;Waiblingen;Deutschland; 2022-08-10  09:37:26 
54;905299;UPS;ER5644; Mercedes-Benz  AG ; Mercedes  Strasse  137 ; 70546  Stuttgart ;; 0000-00-00  00:00:00 
55;1000154995;UPS;61F236; Mercedes-Benz  AG ; Maybachstraße  7 ; 71332  Waiblingen ;Deutschland; 2022-08-10  09:37:39 
56;1000152918;UPS;61F236; Mercedes-Benz  AG ; Maybachstraße  3 ; 71332  Waiblingen ;Deutschland; 2022-08-10  09:37:52 
57;1000008368;UPS;70A923; Mesa  Parts  GmbH ; Im  Gewerbegebiet ;Lenzkirch;; 0000-00-00  00:00:00 
58;1000015872;TNT;14716; Mesa  Parts  s.r.o.   ; Vysokov  112 ; CZ  Vysokov   ;; 0000-00-00  00:00:00 
59;1000026661;TNT;11761; Microdeco  SA ; POLIGONO  INDUSTRIAL  URTIA,  S/N ; 48260  ERMUA ;; 0000-00-00  00:00:00 
60;905299;DHL;145621384; MITSUBISHI  MOTOR  R&D  Europe  GmbH ; Hessenauerstr.  6 ;Trebur;; 0000-00-00  00:00:00 
61;1000006168;UPS;62A779; Moehwald  GmbH ; Michelinstr.  21 ;Homburg;; 0000-00-00  00:00:00 
62;1000032309;TNT;70643981; Neander  Shark  GmbH ; Werftstr.  240-248 ;Kiel;; 0000-00-00  00:00:00 
63;1000904393;UPS;W5271V; NGK  Spark  Plug  Europe  GmbH ;Harkortstr.;Ratingen;; 0000-00-00  00:00:00 
64;1000910490;UPS;A31566; NSI  Präzisionsdrehteile  GmbH ;Tullastraße;Lörrach;; 2022-08-10  09:38:22 
65;1000029997;UPS;30WE81; Paul  Bippus  GmbH ;Härlestrasse;Oberndorf/Neckar;Deutschland; 2022-08-10  09:38:54 
66;905299;UPS;554828; Phoenix  Contact ; Kurze  Straße  29 ; 70781  Filderstadt ;Deutschland; 2022-08-10  09:39:10 
67;905299;TNT;70213847; Piller  Entgrattechnik  GmbH ; Röntgenstrass  30 ;Ditzingen;Deutschland; 2022-08-10  09:39:26 
68;1000013249;;; PMH  Praezisionsmechanik ; Fritz-Ungerer-Str.  5 ;Pforzheim;; 0000-00-00  00:00:00 
69;905299;DHL;956800752; Prettl  Kabelonfektion  GmbH ; Marktstrasse  155 ;Pfullingen;; 0000-00-00  00:00:00 
70;1000010244;TNT;70065441; Robert  Bosch  (France)  S.A.S. ; 41-47.  Boulevard  Marcel  Sembat ; Venissieux  Cedex ;; 0000-00-00  00:00:00 
71;1000006529;UPS;9061W7; ROBERT  BOSCH  (PORTUGAL)  LDA ; Av.  Infante  D.  Henrique ; LISBOA  6 ;; 0000-00-00  00:00:00 
72;1000000873;UPS;101R08; Robert  Bosch  A/S ; Telegrafvej  1 ;Ballerup;; 0000-00-00  00:00:00 
73;1000023091;UPS;W33490; Robert  Bosch  AG ; Goellnergasse  15-17 ; 1030  Wien ;; 0000-00-00  00:00:00 
74;1000010095;;; Robert  Bosch  AG ; Boschstrasse  7 ;Hallein;; 0000-00-00  00:00:00 
75;1000043351;TNT;70283847; Robert  Bosch  Automotive  Steering  GmbH ; Lange  Enden  1 ; 13437  Berlin ;; 0000-00-00  00:00:00 
76;1000000812;TNT;70084384; ROBERT  BOSCH  ELEKTRONIK  GMBH ; John-F.-Kennedy-Str.  43  -  53 ;SALZGITTER;; 0000-00-00  00:00:00 
77;1000000760;UPS;7F133R; ROBERT  BOSCH  ELEKTRONIKA  KFT. ; Robert  Bosch  St  1. ;HATVAN;; 2022-08-10  09:41:04 
78;1000010581;UPS;A782V6; ROBERT  BOSCH  ESPANA  SA ; Calle  Raso  de  la  Estrella  2 ; ARANJUEZ  (MADRID) ;; 0000-00-00  00:00:00 
79;1000000732;UPS;A777X8; ROBERT  BOSCH  ESPANA,  S.L.U. ; Avda.  de  la  Inst.Libre  de  Enseñanza  19 ;MADRID;; 2022-08-10  09:41:49 
80;1000010253;UPS;E7410F; ROBERT  BOSCH  FRANCE  S.A.S. ; 32  Avenue  Michelet ; SAINT  OUEN  CEDEX ;; 0000-00-00  00:00:00 
81;1000004442;UPS;68A742; ROBERT  BOSCH  GMBH ; Robert  Bosch  Strasse  40 ;BAMBERG;; 0000-00-00  00:00:00 
82;1000020138;UPS;0V6233; ROBERT  BOSCH  GMBH ; Robert  Bosch  Strasse  2 ;SCHWIEBERDINGEN;; 0000-00-00  00:00:00 
83;1000000655;UPS;68A604; Robert  Bosch  GmbH ; Bexbacher  Strasse  72 ; Homburg  /Saar ;; 0000-00-00  00:00:00 
84;1000012671;UPS;80040V; Robert  Bosch  GmbH ; Robert  Bosch  Strasse  10 ;Plochingen;; 0000-00-00  00:00:00 
85;1000031212;UPS;65634X; Robert  Bosch  GmbH ; Bietigheimer  Str.  50 ;Tamm;; 0000-00-00  00:00:00 
86;1000019516;UPS;571204; Robert  Bosch  GmbH ; Robert-Bosch-Straße  1 ;Immenstadt;; 2022-08-10  09:42:04 
87;1000000669;UPS;571204; Robert  Bosch  GmbH ; Robert  Bosch  Strasse  1 ;Immenstadt-Seifen;; 0000-00-00  00:00:00 
88;1000014464;UPS;994861; Robert  Bosch  GmbH ; Robert-Bosch-Breite  3 ;Goettingen;; 0000-00-00  00:00:00 
89;1000021235;UPS;0924VW; Robert  Bosch  GmbH ; Alte  Bundesstraße  50 ;Waiblingen;; 2022-08-10  09:42:17 
90;1000038940;TNT;70269811; Robert  Bosch  GmbH ; Robert  Bosch  Strasse  200 ;Hildesheim;; 0000-00-00  00:00:00 
91;1000000671;UPS;68A597; Robert  Bosch  GmbH ; Zweibrueckenerstrasse  13 ;Nürnberg;; 2022-08-10  09:42:31 
92;1000022082;UPS;E916F4; Robert  Bosch  GmbH ; Robert  Bosch  Campus  1 ;Renningen;; 0000-00-00  00:00:00 
93;1000000643;TNT;70323158; Robert  Bosch  GmbH ; Robert  Bosch  Str.  1 ;Ansbach;; 0000-00-00  00:00:00 
94;1000018208;UPS;55320X; ROBERT  BOSCH  GMBH ; Markwiesen  Strasse  46 ; 72770  Reutlingen ;; 0000-00-00  00:00:00 
95;1000022035;UPS;4A9278; Robert  Bosch  odbytova  s.r.o ; Radlická  350/107d ;Prag; Tschechische  Republik ; 2022-08-10  09:43:40 
96;1000155694;UPS;2AV974; Robert  Bosch  Power  Tools  GmbH ; Schuetzenstrasse  77 ;Ravensburg;; 0000-00-00  00:00:00 
97;1000021920;UPS;7968W3; Robert  Bosch  S.A. ; Rue  Henri  Genesse  1 ; 1070  Brussels ;; 0000-00-00  00:00:00 
98;1000024301;UPS;54X214; ROBERT  BOSCH  S.R.L. ; Str.  Horia  Macelariu  30-34 ;Bucharest;; 0000-00-00  00:00:00 
99;1000036498;UPS;A24E53; Robert  Bosch  S.R.L. ; Strada  Robert  Bosch  1 ; 407350  Jucu/Jud.  Cluj   ;Rumänien; 2022-08-10  09:44:00 
100;1000006910;UPS;2E153W; Robert  Bosch  Zagreb ; Ulica  Kneza  Branimira  22 ;Zagreb;; 0000-00-00  00:00:00 
101;1000020092;UPS;68A606; RobertBosch  GmbH ; Robert  Bosch  Str.  1 ;Bühl;; 2022-08-10  09:44:17 
102;1000013668;TNT;8846431; RobertBosch  GmbH ; Strada  del  Drosso  37/15 ; Turin  /  Torino ;; 0000-00-00  00:00:00 
103;1000027652;UPS;99R896; RTM  PRUEFFELD ; GUTENBERGSTRASSE  42 ;METZINGEN;; 0000-00-00  00:00:00 
104;1000004833;DHL;951711376; Sembach  GmbH ; Christoph  Treu  Str.  10 ; Lauf  an  der  Pegnitz ;; 0000-00-00  00:00:00 
105;1000042830;;; STOTZ  FEINMESSTECHNIK  GMBH ; HERMANN-DREHER-STR.  6 ;GERLINGEN;; 0000-00-00  00:00:00 
106;112500;TNT;8369117; TFM  Automotive  &  Industriy  S.p.A. ; Via  Botte  8-12 ; Reschigliano    di  Campodarsego  (PD) ;; 0000-00-00  00:00:00 
107;1000009836;UPS;6F5750; Walter  Soehner  GmbH ; Daimlerstrasse  13 ; 74193  Schweigern ;; 2022-08-10  10:00:31 
108;1000001801;UPS;5A4307; WSK-Elektronik  GmbH ; Konrad  Adenauer  Straße  1 ; 97877  Wertheim ;; 2022-08-10  09:44:55 
109;1000020923;TNT;70241719; BOSCH  REXROTH  AG ; Beckerstrasse  31 ; 09210  Chemnitz ;; 0000-00-00  00:00:00 
110;;;; Robert  Bosch  Korea  Limited  Company ; 567  Sinsu-ro  Giheung-gu ; Yongin-si  -  Korea ;; 0000-00-00  00:00:00 
111;1000023330;DHL;5023058253; BMW  Motorrad ; Anton-Ditt-Bogen  6 ; 80939  München ;; 2022-08-10  09:45:08 
112;1000008372;UPS;787354; Schultz-Electronic  GmbH ; Dr.-Rudiolf-Eberle-Str.  2 ; 76534  Baden-Baden ;; 0000-00-00  00:00:00 
113;1000000697;DHL-Express;961137146;;;Clyton;Australien; 0000-00-00  00:00:00 
114;1000039395;DHL-Express;961137146;;;Clyton;Australien; 0000-00-00  00:00:00 
115;1000900414;DHL-Express; 	 ;;; North  Geelong ;Australien; 0000-00-00  00:00:00 
116;406500;CPD;;;; *CPD  Brasilien ;Brasilien; 0000-00-00  00:00:00 
117;1000027641;K&N;;;;Campinas;Brasilien; 0000-00-00  00:00:00 
118;1000000792;DHL-Express;;;;Campinas;Brasilien; 0000-00-00  00:00:00 
119;1000000796;DHL-Express;964485820;;;Curitiba;Brasilien; 0000-00-00  00:00:00 
120;1000000796;K&N;;;;Curitiba;Brasilien; 0000-00-00  00:00:00 
121;1000000796;K&N;;;;Curitiba;Brasilien; 0000-00-00  00:00:00 
122;1000033967;Agility;;;;Itupeva;Brasilien; 0000-00-00  00:00:00 
123;1000901433;Agility;;;; Sao  Pauolo ;Brasilien; 0000-00-00  00:00:00 
124;205500;CPD;;;; *CPD  China/Hong  Kong ;China; 0000-00-00  00:00:00 
125;1000034003;DHL-Global;;;;Changsha;China; 0000-00-00  00:00:00 
126;1000000678;DHL-Express;965550626;;;Changzhou;China; 0000-00-00  00:00:00 
127;1000031722;DHL-Express;951086050;;; Jiashan,  Jiaxing    (Zhejiang) ;China; 0000-00-00  00:00:00 
128;;DHL-Express;951675775;;;Kunshan;China; 0000-00-00  00:00:00 
129;1000023161;DHL-Express;953002713;;;Nanjing;China; 0000-00-00  00:00:00 
130;1000006903;DHL-Express;953002713;;;Nanjing;China; 0000-00-00  00:00:00 
131;1000009497;DHL-Express;953002713;;;Nanjing;China; 0000-00-00  00:00:00 
